Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,GestationLen,HomeRange,DietBreadth,LitterSize,LittersPerYear,MaxLongevity,HabitatBreadth,NeonateBodyMass,PopulationDensity,Terrestriality,TrophicLevel
Pholidota,Manidae,Manis,temminckii,Manis temminckii,both,11943.74,139,10.22,2,1,1,NA,1,344.96,NA,above ground,carnivore
Carnivora,Felidae,Caracal,caracal,Caracal caracal,nocturnal,11964.38,71.47,293.94,NA,2.3,NA,204,NA,195.86,NA,ground dwelling,carnivore
Carnivora,Canidae,Canis,latrans,Canis latrans,both,11989.1,61.74,18.88,NA,5.72,NA,262,1,200.01,0.25,ground dwelling,carnivore
Carnivora,Felidae,Leptailurus,serval,Leptailurus serval,both,11999.96,73.74,1.84,NA,2.35,2.5,276,1,254,NA,ground dwelling,carnivore
Carnivora,Viverridae,Viverra,civettina,Viverra civettina,nocturnal,12061.27,NA,NA,NA,NA,NA,NA,1,NA,NA,ground dwelling,omnivore
Carnivora,Viverridae,Civettictis,civetta,Civettictis civetta,nocturnal,12075.58,68.4,NA,3,2.31,NA,336,2,317.3,NA,ground dwelling,omnivore
Artiodactyla,Bovidae,Cephalophus,rufilatus,Cephalophus rufilatus,diurnal,12114.57,233.99,NA,NA,1,NA,114,1,975.1,3.18,ground dwelling,omnivore
Primates,Cercopithecidae,Nasalis,larvatus,Nasalis larvatus,diurnal,12265.65,165.04,1.4,1,1.02,NA,252,1,450,8.99,above ground,herbivore
Primates,Cercopithecidae,Rhinopithecus,brelichi,Rhinopithecus brelichi,diurnal,12267.15,200,7.41,NA,1,NA,NA,NA,NA,16.92,above ground,herbivore
Artiodactyla,Moschidae,Moschus,berezovskii,Moschus berezovskii,both,12477.41,184.24,0.13,NA,1.2,1,NA,1,529.5,NA,NA,herbivore
Rodentia,Dinomyidae,Dinomys,branickii,Dinomys branickii,nocturnal,12500,252.74,NA,NA,1.97,NA,112.8,1,769.43,NA,ground dwelling,herbivore
Diprotodontia,Macropodidae,Dendrolagus,inustus,Dendrolagus inustus,both,12625,NA,NA,3,1.11,NA,240,1,NA,NA,above ground,herbivore
Diprotodontia,Macropodidae,Macropus,parryi,Macropus parryi,nocturnal,12629.83,37.14,NA,3,1,NA,168,1,NA,40.29,ground dwelling,herbivore
Primates,Cercopithecidae,Semnopithecus,entellus,Semnopithecus entellus,diurnal,12679.29,197.7,1.3,3,1.02,NA,300,1,499.83,17.28,NA,herbivore
Artiodactyla,Bovidae,Cephalophus,natalensis,Cephalophus natalensis,diurnal,12724.51,212.97,0.06,3,1,NA,180,1,954.89,6.92,ground dwelling,herbivore
Artiodactyla,Cervidae,Hydropotes,inermis,Hydropotes inermis,NA,12760.04,175.49,NA,NA,3,NA,144,2,1016.19,NA,NA,NA
Carnivora,Mustelidae,Gulo,gulo,Gulo gulo,nocturnal,12792.49,161.73,343.27,NA,2.84,0.5,216,1,86.02,0.007916144,ground dwelling,carnivore
Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,nocturnal,12999.99,92.24,NA,NA,2.5,NA,272.4,NA,317.35,NA,ground dwelling,herbivore
Artiodactyla,Bovidae,Cephalophus,leucogaster,Cephalophus leucogaster,diurnal,13208.69,NA,NA,NA,1,NA,63.96,1,NA,NA,ground dwelling,omnivore
Diprotodontia,Macropodidae,Dendrolagus,ursinus,Dendrolagus ursinus,both,13249.99,NA,NA,NA,1.01,NA,242.4,1,NA,NA,above ground,herbivore
Artiodactyla,Moschidae,Moschus,moschiferus,Moschus moschiferus,both,13315.57,175.92,0.13,NA,1.74,1,NA,1,498.39,NA,NA,herbivore
Rodentia,Hystricidae,Hystrix,cristata,Hystrix cristata,nocturnal,13406.27,79.19,0.74,NA,1.73,2,NA,1,NA,NA,ground dwelling,omnivore
Primates,Cercopithecidae,Rhinopithecus,roxellana,Rhinopithecus roxellana,diurnal,13456.8,199.34,24.28,NA,1,NA,NA,1,NA,4.6,above ground,herbivore
Artiodactyla,Bovidae,Oreotragus,oreotragus,Oreotragus oreotragus,both,13486.55,214,NA,3,0.98,NA,213.96,2,1130,2.62,ground dwelling,herbivore
Artiodactyla,Cervidae,Muntiacus,reevesi,Muntiacus reevesi,NA,13499.94,214.24,0.12,2,0.98,NA,NA,2,1050,0.67,NA,herbivore
Artiodactyla,Moschidae,Moschus,chrysogaster,Moschus chrysogaster,both,13697.9,188,0.13,2,1.2,1,NA,1,659.54,NA,NA,herbivore
Artiodactyla,Moschidae,Moschus,fuscus,Moschus fuscus,both,13697.9,NA,0.13,2,NA,1,NA,1,NA,NA,NA,herbivore
Primates,Cercopithecidae,Papio,hamadryas,Papio hamadryas,diurnal,14007.08,180,17.37,5,1.01,NA,450,1,890,2.1,NA,herbivore
Primates,Cercopithecidae,Mandrillus,leucophaeus,Mandrillus leucophaeus,diurnal,14253.3,179.22,NA,2,1.01,0.5,400.8,1,718.15,NA,ground dwelling,omnivore
Rodentia,Hystricidae,Hystrix,indica,Hystrix indica,nocturnal,14298.6,112,1.05,6,1.73,NA,NA,2,NA,5.11,ground dwelling,omnivore
Carnivora,Canidae,Canis,simensis,Canis simensis,diurnal,14361.86,63.61,4.2,2,NA,NA,NA,2,NA,1.2,ground dwelling,carnivore
